Measure;Preamble;Question;Options;Reverse_coded;Attention_check;ind
IUS;Please select the answer that best corresponds to how much you agree with each item.;2. It frustrates me not having all the information I need.;Not at all characteristic of me, A little characteristic of me, Somewhat characteristic of me, Very characteristic of me, Entirely characteristic of me;0;0;1
IUS;Please select the answer that best corresponds to how much you agree with each item.;3. Uncertainty keeps me from living a full life.;Not at all characteristic of me, A little characteristic of me, Somewhat characteristic of me, Very characteristic of me, Entirely characteristic of me;0;0;2
IUS;Please select the answer that best corresponds to how much you agree with each item.;4. One should always look ahead so as to avoid surprises.;Not at all characteristic of me, A little characteristic of me, Somewhat characteristic of me, Very characteristic of me, Entirely characteristic of me;0;0;3
IUS;Please select the answer that best corresponds to how much you agree with each item.;5. A small unforeseen event can spoil everything, even with the best of planning.;Not at all characteristic of me, A little characteristic of me, Somewhat characteristic of me, Very characteristic of me, Entirely characteristic of me;0;0;4
IUS;Please select the answer that best corresponds to how much you agree with each item.;6. When it is time to act, uncertainty paralyses me.;Not at all characteristic of me, A little characteristic of me, Somewhat characteristic of me, Very characteristic of me, Entirely characteristic of me;0;0;5
IUS;Please select the answer that best corresponds to how much you agree with each item.;7. When I am uncertain I cannot function very well.;Not at all characteristic of me, A little characteristic of me, Somewhat characteristic of me, Very characteristic of me, Entirely characteristic of me;0;0;6
IUS;Please select the answer that best corresponds to how much you agree with each item.;8. I always answer these survey questions honestly.;Not at all characteristic of me, A little characteristic of me, Somewhat characteristic of me, Very characteristic of me, Entirely characteristic of me;0;1;7
IUS;Please select the answer that best corresponds to how much you agree with each item.;9. I always want to know what the future has in store for me.;Not at all characteristic of me, A little characteristic of me, Somewhat characteristic of me, Very characteristic of me, Entirely characteristic of me;0;0;8
IUS;Please select the answer that best corresponds to how much you agree with each item.;10. I cannot stand being taken by surprise.;Not at all characteristic of me, A little characteristic of me, Somewhat characteristic of me, Very characteristic of me, Entirely characteristic of me;0;0;9
IUS;Please select the answer that best corresponds to how much you agree with each item.;11. The smallest doubt can stop me from acting.;Not at all characteristic of me, A little characteristic of me, Somewhat characteristic of me, Very characteristic of me, Entirely characteristic of me;0;0;10
IUS;Please select the answer that best corresponds to how much you agree with each item.;12. I should be able to organize everything in advance.;Not at all characteristic of me, A little characteristic of me, Somewhat characteristic of me, Very characteristic of me, Entirely characteristic of me;0;0;11
IUS;Please select the answer that best corresponds to how much you agree with each item.;13. I must get away from all uncertain situations.;Not at all characteristic of me, A little characteristic of me, Somewhat characteristic of me, Very characteristic of me, Entirely characteristic of me;0;0;12
CAPE;Please select the answer that best describes you.;1. Do you ever feel sad?;Never, Sometimes, Often, Nearly always;0;0;0
CAPE;Please select the answer that best describes you.;2. Do you ever feel pessimistic about everything?;Never, Sometimes, Often, Nearly always;0;0;1
CAPE;Please select the answer that best describes you.;3. Do you ever feel as if there is no future for you?;Never, Sometimes, Often, Nearly always;0;0;2
CAPE;Please select the answer that best describes you.;4. Do you ever feel as if you do not want to live anymore?;Never, Sometimes, Often, Nearly always;0;0;3
CAPE;Please select the answer that best describes you.;5. Do you ever find yourself having more than two feet?;Never, Sometimes, Often, Nearly always;0;1;4
CAPE;Please select the answer that best describes you.;6. Do you ever cry about nothing?;Never, Sometimes, Often, Nearly always;0;0;5
CAPE;Please select the answer that best describes you.;7. Do you ever feel guilty?;Never, Sometimes, Often, Nearly always;0;0;6
CAPE;Please select the answer that best describes you.;8. Do you ever feel like a failure?;Never, Sometimes, Often, Nearly always;0;0;7
CAPE;Please select the answer that best describes you.;9. Do you ever feel tense?;Never, Sometimes, Often, Nearly always;0;0;8
PID;This is a list of things different people might say about themselves. We are interested in how you would describe yourself. Weíd like you to take your time and read each statement carefully, selecting the response that best describes you.;1. I worry about almost everything.;Very false or often false, Sometimes or somewhat false, Sometimes or somewhat true, Very true or often true;0;0;0
PID;This is a list of things different people might say about themselves. We are interested in how you would describe yourself. Weíd like you to take your time and read each statement carefully, selecting the response that best describes you.;2. I get emotional easily, often for very little reason.;Very false or often false, Sometimes or somewhat false, Sometimes or somewhat true, Very true or often true;0;0;1
PID;This is a list of things different people might say about themselves. We are interested in how you would describe yourself. Weíd like you to take your time and read each statement carefully, selecting the response that best describes you.;3. I fear being alone in life more than anything else.;Very false or often false, Sometimes or somewhat false, Sometimes or somewhat true, Very true or often true;0;0;2
PID;This is a list of things different people might say about themselves. We are interested in how you would describe yourself. Weíd like you to take your time and read each statement carefully, selecting the response that best describes you.;4. I get stuck on one way of doing things, even when it is clear it will not work.;Very false or often false, Sometimes or somewhat false, Sometimes or somewhat true, Very true or often true;0;0;3
PID;This is a list of things different people might say about themselves. We are interested in how you would describe yourself. Weíd like you to take your time and read each statement carefully, selecting the response that best describes you.;5. I get irritated easily by all sorts of things.;Very false or often false, Sometimes or somewhat false, Sometimes or somewhat true, Very true or often true;0;0;4
RRQ;For each of the statements please indicate your level of agreement or disagreement by clicking one of the scale categories.;1. My attention is often focused on aspects of myself I wish I'd stop thinking about.;Strongly disagree, Disagree, Neutral, Agree, Strongly agree;0;0;0
RRQ;For each of the statements please indicate your level of agreement or disagreement by clicking one of the scale categories.;"2. I always seem to be """"re-hashing"""" in my mind recent things I've said or done.";Strongly disagree, Disagree, Neutral, Agree, Strongly agree;0;0;1
RRQ;For each of the statements please indicate your level of agreement or disagreement by clicking one of the scale categories.;3. Sometimes it is hard for me to shut off thoughts about myself.;Strongly disagree, Disagree, Neutral, Agree, Strongly agree;0;0;2
RRQ;For each of the statements please indicate your level of agreement or disagreement by clicking one of the scale categories.;4. Long after an argument or disagreement is over with, my thoughts keep going back to what happened.;Strongly disagree, Disagree, Neutral, Agree, Strongly agree;0;0;3
RRQ;For each of the statements please indicate your level of agreement or disagreement by clicking one of the scale categories.;"5. I tend to """"ruminate"""" or dwell over things that happen to me for a really long time afterward.";Strongly disagree, Disagree, Neutral, Agree, Strongly agree;0;0;4
RRQ;For each of the statements please indicate your level of agreement or disagreement by clicking one of the scale categories.;6. I don't waste time re-thinking things that are over and done with.;Strongly disagree, Disagree, Neutral, Agree, Strongly agree;1;0;5
RRQ;For each of the statements please indicate your level of agreement or disagreement by clicking one of the scale categories.;7. Often I'm playing back over in my mind how I acted in a past situation.;Strongly disagree, Disagree, Neutral, Agree, Strongly agree;0;0;6
RRQ;For each of the statements please indicate your level of agreement or disagreement by clicking one of the scale categories.;8. I often find myself re-evaluating something I've done.;Strongly disagree, Disagree, Neutral, Agree, Strongly agree;0;0;7
RRQ;For each of the statements please indicate your level of agreement or disagreement by clicking one of the scale categories.;9. I never ruminate or dwell on myself for very long.;Strongly disagree, Disagree, Neutral, Agree, Strongly agree;1;0;8
RRQ;For each of the statements please indicate your level of agreement or disagreement by clicking one of the scale categories.;10. It is easy for me to put unwanted thoughts out of my mind.;Strongly disagree, Disagree, Neutral, Agree, Strongly agree;1;0;9
RRQ;For each of the statements please indicate your level of agreement or disagreement by clicking one of the scale categories.;11. I often reflect on episodes in my life that I should no longer concern myself with.;Strongly disagree, Disagree, Neutral, Agree, Strongly agree;0;0;10
RRQ;For each of the statements please indicate your level of agreement or disagreement by clicking one of the scale categories.;12. I spend a great deal of time thinking back over my embarrassing or disappointing moments.;Strongly disagree, Disagree, Neutral, Agree, Strongly agree;0;0;11
PSWQ;Choose the response that best describes how typical or characteristic each item is of you.;1. If I don’t have enough time to do everything, I don’t worry about it.;Not at all typical, Rarely typical, Somewhat typical, Often typical, Very typical;1;0;0
PSWQ;Choose the response that best describes how typical or characteristic each item is of you.;2. My worries overwhelm me.;Not at all typical, Rarely typical, Somewhat typical, Often typical, Very typical;0;0;1
PSWQ;Choose the response that best describes how typical or characteristic each item is of you.;3. I do not tend to worry about things.;Not at all typical, Rarely typical, Somewhat typical, Often typical, Very typical;1;0;2
PSWQ;Choose the response that best describes how typical or characteristic each item is of you.;4. Many situations make me worry.;Not at all typical, Rarely typical, Somewhat typical, Often typical, Very typical;0;0;3
PSWQ;Choose the response that best describes how typical or characteristic each item is of you.;5. I know I shouldn’t worry about things, but I just cannot help it.;Not at all typical, Rarely typical, Somewhat typical, Often typical, Very typical;0;0;4
PSWQ;Choose the response that best describes how typical or characteristic each item is of you.;6. When I am under pressure I worry a lot.;Not at all typical, Rarely typical, Somewhat typical, Often typical, Very typical;0;0;5
PSWQ;Choose the response that best describes how typical or characteristic each item is of you.;7. I am always worrying about something.;Not at all typical, Rarely typical, Somewhat typical, Often typical, Very typical;0;0;6
PSWQ;Choose the response that best describes how typical or characteristic each item is of you.;8. I find it easy to dismiss worrisome thoughts.;Not at all typical, Rarely typical, Somewhat typical, Often typical, Very typical;1;0;7
PSWQ;Choose the response that best describes how typical or characteristic each item is of you.;9. I find myself living on Mars.;Not at all typical, Rarely typical, Somewhat typical, Often typical, Very typical;0;1;8
PSWQ;Choose the response that best describes how typical or characteristic each item is of you.;10. As soon as I finish one task, I start to worry about everything else I have to do.;Not at all typical, Rarely typical, Somewhat typical, Often typical, Very typical;0;0;9
PSWQ;Choose the response that best describes how typical or characteristic each item is of you.;11. I never worry about anything.;Not at all typical, Rarely typical, Somewhat typical, Often typical, Very typical;1;0;10
PSWQ;Choose the response that best describes how typical or characteristic each item is of you.;12. When there is nothing more I can do about a concern, I don’t worry about it anymore. ;Not at all typical, Rarely typical, Somewhat typical, Often typical, Very typical;1;0;11
PSWQ;Choose the response that best describes how typical or characteristic each item is of you.;13. I’ve been a worrier all my life.;Not at all typical, Rarely typical, Somewhat typical, Often typical, Very typical;0;0;12
PSWQ;Choose the response that best describes how typical or characteristic each item is of you.;14. I notice that I have been worrying about things.;Not at all typical, Rarely typical, Somewhat typical, Often typical, Very typical;0;0;13
PSWQ;Choose the response that best describes how typical or characteristic each item is of you.;15. Once I start worrying, I can’t stop.;Not at all typical, Rarely typical, Somewhat typical, Often typical, Very typical;0;0;14
PSWQ;Choose the response that best describes how typical or characteristic each item is of you.;16. I worry all the time.;Not at all typical, Rarely typical, Somewhat typical, Often typical, Very typical;0;0;15
PSWQ;Choose the response that best describes how typical or characteristic each item is of you.;17. I worry about projects until they are done.;Not at all typical, Rarely typical, Somewhat typical, Often typical, Very typical;0;0;16
